nombre,cursos_incluidos,numero_cursos,horas,meses_duracion,nivel,certificaciones_multiples,badge_oferta,oferta_adicional,validez_certificado,profesor
Especialización en Diseño Estructural BIM en Acero para Edificaciones,"1) Análisis y diseño de estructuras de acero (Robot Structural Analysis) · 2) Cálculo de naves industriales, galpones y cerchas · 3) Uniones metálicas: soldadura, conexiones empernadas y placas (Advance Steel) · 4) Modelado BIM en Revit Structure",4 cursos,~135 h,4 meses,Avanzado,4 certificados Autodesk (uno por curso) + certificado DMA 120h con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa · Incluye licencias estudiantiles Autodesk",Ing. Gabriel Pantoja · Ing. Mijail Mayorga
Especialización en Diseño Estructural con Hormigón Armado BIM,1) Modelado BIM hormigón+acero en Revit (35h) · 2) Diseño de viviendas de hormigón con Robot (30h) · 3) Diseño estructural de hormigón armado en edificaciones (34h),3 cursos,120–130 h,4 meses,Avanzado,3 certificados Autodesk + certificado DMA 120h con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa · Incluye licencias estudiantiles Autodesk",Ing. Gabriel Pantoja
Especialización en Modelado BIM en Arquitectura y MEP,1) Modelado BIM hormigón+acero (35h) · 2) Diseño y modelado BIM Arquitectura (25h) · 3) Instalaciones hidrosanitarias BIM (20h),3 cursos,110–130 h,4 meses,Intermedio,3 certificados Autodesk + certificado DMA 120h con QR + aval Europa DQ,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa · Incluye licencias estudiantiles Autodesk",Ing. Gabriel Pantoja
Especialización en Diseño Estructural y Modelado BIM de Tanques,1) Análisis y diseño de cimentaciones en tanques elevados (5 ses.) · 2) Cálculo de tanques en hormigón y acero (11 ses.) · 3) Planos estructurales para tanques elevados (6 ses.),3 módulos,42 h,—,Avanzado,Certificado Autodesk + certificado DMA con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa",Ing. Gabriel Pantoja
"Especialización en Gerencia de Costos, Presupuesto y Control de Obras","1) Costos y presupuestos en viviendas (11 ses.) · 2) Ingeniería de costos y cronogramas: análisis presupuestario, cronogramas valorados, rutas críticas PERT, reajuste de precios (4 módulos)",2 formaciones,50 h académicas,2 meses,Intermedio,Certificado DMA 50h académicas con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa",Ing. Pablo Sandoya
Especialización en Planos BIM Arquitectónico y Estructurales,1) AutoCAD 2D Delineante de Arquitectura e Ingeniería Civil (11 ses.) · 2) Diseño y modelado BIM Arquitectura (10 ses.) · 3) Planos estructurales con metodología BIM (21 ses.),3 cursos,79 h,2 meses,Inicial–Intermedio,3 certificados Autodesk + certificado DMA con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa · Incluye licencias estudiantiles Autodesk",Ing. Mijail Mayorga
Especialización en Diseño y Análisis de Cimentaciones,1) Muros de contención (12 ses.) · 2) Cimentaciones en viviendas familiares (10 ses.) · 3) Cimentaciones superficiales y profundas (21 ses.),3 cursos,99+ h,2 meses,Avanzado,Certificación DMA 70 horas académicas internacionales con QR,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa",Ing. Manuel Luces
Especialización en Diseño y Análisis Profesional en SAP2000,1) Edificios en hormigón armado residencial (10 ses.) · 2) Instalaciones industriales PRO (14 ses.) · 3) Edificios sismorresistentes en hormigón armado (9 ses.),3 cursos,70 h académicas,2 meses,Avanzado,Certificación DMA 70 horas académicas con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa",Ing. Gabriel Pantoja
Especialización en Diseño y Análisis Profesional en ETABS,1) Viviendas unifamiliares en acero estructural (12 ses.) · 2) Edificaciones industriales en acero estructural (10 ses.) · 3) Cimentaciones profundas para edificios (6 ses.),3 cursos,70 h académicas,~2 meses,Avanzado,Certificación DMA 70 horas académicas con QR verificable,60% de descuento · Antes $499.99,Al inscribirte esta semana llevas GRATIS otra especialización a elección,"Válido en España, América Latina y Europa",Ing. Gabriel Pantoja · Ing. Manuel Luces
